,tiempo
0,27.465871130418268
1,31.765426039882936
2,27.877873733183236
3,29.223431002864544
4,24.395194769131862
5,31.799215176156572
6,23.49710721499109
7,39.834966800067264
8,53.459464556863146
9,21.168074953322247
10,35.049565771451896
11,24.339782052700613
12,30.865179890475154
13,43.215253772915574
14,13.374392620920673
15,14.428624645504419
16,8.89614207343242
17,33.513347255494764
18,34.736059956547045
19,38.12975503128531
20,59.91180953984713
21,36.15818712518403
22,26.158098336830268
23,32.633065806176894
24,17.159645280582218
25,29.581778140076818
26,17.59713804019797
27,44.35173722443156
28,22.70423076303252
29,24.291368293779765
30,17.750116178062342
31,34.08478676403652
32,25.054191010439908
33,28.340374133907286
34,7.956642858656257
35,28.47646335635369
36,28.29937229721813
37,28.361127209172153
38,45.66959705157243
39,29.165027833414342
40,21.914155259104092
41,27.162214739095415
42,31.602680779835296
43,13.498536309491785
44,29.489846687758106
45,30.604091413158027
46,18.1225043914509
47,14.960728690751338
48,21.245686535510462
49,20.09744773555874
50,29.001621688050058
51,27.47443701126287
52,70.23116082018174
53,16.31977645680759
54,21.65037780854762
55,17.174663728146722
56,29.52560566273904
57,20.0073181839444
58,26.86210295710445
59,19.763654963203912
60,16.848479687254148
61,12.928805715013036
62,33.96696596909265
63,17.029244968656954
64,20.138369061008422
65,22.470945721375937
66,39.1819271178898
67,12.595339289121434
68,39.007458934447236
69,16.756896932228592
70,60.37351616663539
71,26.013865926529114
72,57.38047964098061
73,29.178548184722455
74,32.700514327242104
75,14.701868082280315
76,21.89010476572314
77,17.687230705260003
78,22.404759257715952
79,17.531962742333793
80,20.921576579979973
81,25.704535810072112
82,14.32173907171861
83,31.119770512247342
84,28.774883958811213
85,23.037393442666673
86,26.178862113444
87,12.782772715293879
88,28.709045583782693
89,45.85710084154994
90,19.48776085825454
91,31.13807122892869
92,18.833077456076584
93,30.463832156205736
94,20.76007309779758
95,18.311738852324034
96,26.601288031918127
97,9.228818558053785
98,35.65245412266373
99,3.5542631434322174
100,32.11222832588604
101,20.373170193231697
102,33.171829058774186
103,51.62322154556508
104,19.237882900025294
105,27.21119476717542
106,29.216845608957225
107,28.91580751439507
108,18.889089332549325
109,52.224032322714805
110,27.603997633407282
111,37.4529942234775
112,31.76438863817031
113,24.357701461274566
114,33.399297311906324
